       flips     | logical  errors | corrections   
 [0,  0,  0,  0] |        |I|      |I
 [1,  0,  1,  0] |        |X|      | X[1]  X[2]  X[9] 
 [0,  1,  0,  0] |        |I|      |I
 [1,  1,  0,  0] |        |X|      | X[7]  X[8]  X[9] 
 [0,  1,  0,  1] |        |X|      | X[7]  X[14]  X[15] 
 [1,  0,  0,  0] |        |I|      |I
 [0,  0,  1,  0] |        |I|      |I
 [0,  0,  0,  1] |        |I|      |I
 [0,  1,  1,  0] |        |I|      |I
 [1,  1,  0,  1] |        |X|      | X[7]  X[8]  X[9] 
 [1,  0,  0,  1] |        |Z|      |I
 [1,  1,  1,  0] |        |X|      | X[7]  X[8]  X[9] 
 [0,  1,  1,  1] |        |X|      | X[7]  X[14]  X[15] 
 [1,  0,  1,  1] |        |X|      | X[1]  X[2]  X[9] 
 [0,  0,  1,  1] |        |I|      |I
 [1,  1,  1,  1] |        |I|      | X[1]  X[2]  X[7]  X[9]  X[14]  X[15] 
