      flips      | logical  errors | corrections   
 [0,  0,  0,  0] |        |I|      |I
 [1,  0,  0,  0] |        |I|      |I
 [0,  0,  0,  1] |        |I|      |I
 [0,  1,  0,  0] |        |I|      |I
 [1,  0,  1,  0] |        |Z|      | Z[3]  Z[9]  Z[14] 
 [0,  0,  1,  0] |        |I|      |I
 [1,  1,  0,  0] |        |Z|      | Z[2]  Z[8]  Z[14] 
 [0,  1,  0,  1] |        |Z|      | Z[2]  Z[7]  Z[13] 
 [0,  1,  1,  0] |        |I|      |I
 [1,  0,  1,  1] |        |Z|      | Z[3]  Z[9]  Z[14] 
 [1,  1,  1,  0] |        |Z|      | Z[2]  Z[8]  Z[14] 
 [1,  1,  0,  1] |        |Z|      | Z[2]  Z[8]  Z[14] 
 [1,  0,  0,  1] |        |I|      |I
 [0,  0,  1,  1] |        |I|      |I
 [1,  1,  1,  1] |        |I|      | Z[2]  Z[3]  Z[7]  Z[9]  Z[13]  Z[14] 
 [0,  1,  1,  1] |        |Z|      | Z[2]  Z[7]  Z[13] 
