   flips   |   errors   
 [0,  0,  0,  0,  0,  0,  0,  1,  1,  0,  1,  0] | [12,  53] 
 [0,  0,  0,  1,  1,  0,  0,  0,  0,  1,  0,  1] | [9,  36] 
 [0,  1,  1,  0,  0,  1,  1,  1,  0,  1,  1,  0] | [12,  26] 
 [1,  1,  1,  0,  0,  1,  1,  1,  0,  1,  1,  1] | [17,  27] 
 [1,  1,  0,  0,  0,  0,  1,  1,  0,  1,  1,  0] | [9,  30] 
 [1,  0,  1,  1,  1,  1,  1,  1,  1,  0,  0,  1] | [16,  34] 
 [0,  1,  1,  0,  1,  0,  0,  0,  0,  1,  1,  1] | [12,  40] 
 [1,  1,  0,  0,  0,  0,  1,  0,  1,  1,  0,  1] | [14,  39] 
 [1,  1,  0,  1,  1,  1,  1,  1,  1,  1,  1,  1] | [9,  34] 
 [0,  0,  1,  1,  1,  0,  0,  0,  0,  0,  1,  1] | [18,  35] 
 [1,  0,  1,  0,  1,  0,  0,  0,  1,  1,  1,  0] | [13,  30] 
 [1,  1,  1,  0,  0,  1,  1,  1,  1,  1,  1,  0] | [10,  29] 
 [1,  0,  0,  1,  1,  1,  0,  1,  0,  0,  1,  0] | [16,  31] 
 [0,  0,  0,  1,  0,  1,  1,  1,  1,  1,  0,  1] | [12,  33] 
 [1,  0,  1,  0,  1,  0,  0,  1,  1,  0,  1,  0] | [10,  38] 
 [1,  1,  0,  1,  0,  1,  1,  0,  0,  0,  1,  0] | [14,  32] 
 [1,  1,  1,  1,  1,  0,  1,  0,  0,  0,  1,  0] | [9,  42] 
 [0,  1,  1,  1,  1,  0,  1,  1,  1,  1,  1,  0] | [13,  37] 
 [0,  0,  1,  0,  1,  0,  1,  0,  0,  0,  0,  1] | [14,  36] 
 [0,  0,  0,  0,  1,  1,  0,  1,  1,  1,  1,  0] | [11,  33] 
 [0,  0,  1,  0,  1,  1,  1,  0,  1,  0,  1,  0] | [12,  36] 
 [0,  1,  0,  1,  1,  1,  1,  1,  0,  0,  1,  0] | [11,  38] 
 [1,  0,  1,  1,  1,  1,  1,  1,  1,  1,  1,  0] | [10,  36] 
 [0,  0,  0,  0,  1,  0,  1,  0,  0,  0,  1,  1] | [8,  34] 
 [1,  0,  1,  0,  1,  1,  0,  1,  0,  1,  1,  1] | [14,  45] 
 [1,  1,  1,  0,  1,  1,  1,  1,  0,  0,  0,  0] | [15,  29] 
 [0,  1,  0,  0,  0,  0,  1,  0,  1,  0,  0,  0] | [8,  42] 
 [0,  1,  0,  0,  0,  0,  1,  1,  0,  1,  0,  0] | [9,  38] 
 [0,  0,  1,  0,  1,  0,  1,  0,  0,  0,  1,  0] | [12,  35] 
 [0,  1,  0,  1,  0,  1,  0,  1,  1,  0,  1,  1] | [16,  48] 
 [0,  0,  1,  0,  1,  0,  1,  0,  0,  0,  1,  1] | [9,  32] 
 [1,  1,  0,  1,  1,  0,  1,  1,  0,  0,  1,  1] | [14,  43] 
 [1,  0,  1,  1,  0,  0,  1,  0,  0,  0,  0,  1] | [11,  34] 
 [1,  0,  1,  1,  1,  0,  0,  1,  1,  0,  1,  1] | [10,  31] 
 [1,  1,  0,  0,  1,  1,  0,  0,  0,  1,  0,  1] | [9,  37] 
 [1,  0,  0,  0,  0,  0,  1,  1,  1,  1,  0,  0] | [9,  38] 
 [1,  1,  0,  0,  1,  0,  0,  0,  1,  0,  0,  0] | [14,  36] 
 [0,  0,  1,  0,  0,  1,  1,  0,  0,  1,  0,  1] | [12,  30] 
 [1,  0,  1,  1,  1,  1,  1,  0,  1,  0,  1,  1] | [8,  46] 
 [0,  1,  1,  0,  0,  0,  1,  1,  0,  1,  1,  1] | [17,  43] 
 [0,  1,  1,  0,  1,  1,  1,  0,  1,  1,  1,  1] | [16,  37] 
 [0,  1,  1,  0,  0,  0,  1,  1,  0,  0,  1,  1] | [18,  47] 
 [0,  1,  0,  0,  1,  1,  0,  1,  1,  0,  0,  1] | [14,  35] 
 [0,  0,  1,  0,  0,  1,  1,  0,  0,  0,  1,  1] | [11,  40] 
 [1,  1,  1,  0,  0,  1,  1,  0,  0,  1,  1,  1] | [14,  30] 
 [1,  1,  1,  0,  1,  1,  1,  0,  0,  1,  1,  1] | [7,  31] 
 [0,  1,  0,  0,  1,  1,  1,  0,  1,  0,  0,  1] | [13,  28] 
 [0,  1,  1,  0,  1,  0,  1,  1,  0,  0,  0,  0] | [18,  30] 
 [1,  0,  1,  1,  1,  0,  1,  0,  0,  1,  1,  0] | [14,  34] 
 [0,  1,  1,  1,  0,  1,  0,  1,  1,  1,  1,  1] | [14,  37] 
 [0,  1,  0,  0,  0,  1,  1,  1,  0,  0,  1,  0] | [16,  38] 
 [0,  0,  1,  1,  1,  1,  0,  0,  1,  1,  0,  1] | [17,  24] 
 [1,  1,  1,  0,  0,  0,  0,  0,  1,  0,  1,  1] | [14,  33] 
 [1,  1,  1,  0,  0,  0,  0,  0,  0,  1,  0,  1] | [17,  37] 
 [1,  1,  0,  0,  0,  0,  1,  0,  0,  1,  0,  1] | [9,  33] 
 [1,  0,  1,  1,  1,  1,  1,  0,  0,  1,  0,  0] | [7,  29] 
 [0,  0,  1,  1,  0,  0,  1,  1,  0,  0,  1,  0] | [14,  43] 
 [0,  0,  0,  1,  1,  0,  1,  1,  1,  0,  1,  1] | [16,  46] 
 [1,  1,  1,  1,  1,  0,  1,  1,  1,  1,  0,  1] | [19,  49] 
 [1,  1,  0,  1,  1,  0,  0,  0,  0,  0,  1,  1] | [7,  45] 
 [0,  1,  0,  1,  1,  0,  1,  0,  1,  0,  0,  0] | [10,  34] 
 [0,  1,  0,  1,  1,  0,  0,  1,  1,  0,  1,  1] | [15,  30] 
 [0,  1,  0,  1,  1,  0,  0,  0,  0,  1,  1,  0] | [13,  45] 
 [0,  0,  1,  0,  0,  0,  0,  1,  0,  1,  1,  1] | [12,  36] 
 [1,  1,  0,  1,  0,  0,  0,  1,  0,  1,  1,  0] | [8,  44] 
 [0,  0,  1,  0,  0,  0,  1,  1,  0,  1,  0,  1] | [10,  41] 
 [1,  0,  0,  1,  1,  1,  0,  0,  1,  0,  1,  1] | [7,  32] 
 [0,  0,  1,  0,  0,  1,  0,  1,  0,  0,  1,  1] | [14,  34] 
 [1,  1,  0,  0,  1,  1,  1,  0,  0,  1,  1,  1] | [12,  38] 
 [0,  1,  1,  0,  1,  0,  0,  1,  0,  1,  0,  1] | [10,  34] 
 [1,  1,  0,  1,  1,  0,  0,  0,  0,  1,  0,  1] | [17,  27] 
 [0,  1,  1,  1,  0,  1,  1,  1,  0,  1,  0,  0] | [13,  40] 
 [0,  1,  0,  0,  1,  0,  0,  0,  0,  0,  0,  1] | [10,  33] 
 [1,  0,  0,  0,  1,  0,  1,  1,  1,  1,  0,  1] | [9,  37] 
 [1,  0,  0,  1,  1,  1,  1,  1,  0,  0,  1,  0] | [12,  48] 
 [0,  0,  1,  1,  1,  0,  0,  1,  1,  1,  0,  1] | [9,  26] 
 [0,  0,  0,  0,  1,  0,  0,  0,  1,  1,  1,  0] | [10,  25] 
 [0,  1,  0,  1,  0,  1,  0,  0,  0,  0,  1,  1] | [10,  39] 
 [0,  1,  0,  0,  0,  0,  1,  1,  0,  1,  0,  1] | [9,  27] 
 [0,  0,  1,  0,  0,  0,  1,  0,  1,  1,  0,  1] | [13,  39] 
