mwpm|dumb|nn
I|X|I
I|Z|Z
Z|I|Z
X|I|X
I|Y|Y
Z|Z|Z
I|I|I
I|I|I
I|X|X
I|I|Y
I|X|X
I|I|I
I|X|I
X|X|I
Z|X|Z
I|Y|X
Z|I|Z
X|Z|Y
I|Z|X
I|I|I
Z|I|Z
I|Y|I
Z|I|Z
X|I|X
I|Y|Y
I|I|I
I|Y|Z
I|X|X
I|I|X
I|X|X
Z|I|I
I|I|I
I|I|I
I|X|I
I|Z|Z
Y|Y|I
X|Y|I
I|I|I
Y|Y|Y
I|I|I
I|I|I
Z|I|I
I|Z|I
I|X|I
I|I|Y
X|Y|Z
I|Z|Z
I|X|I
I|Z|I
X|Y|Z
I|I|I
I|I|I
I|I|I
Y|Z|X
I|X|X
I|I|Z
X|X|I
I|Z|I
I|Z|Z
I|Z|I
I|X|I
I|X|I
I|Z|Z
I|I|I
I|I|I
Z|Z|Z
X|Z|I
I|Y|I
I|I|I
X|X|X
I|I|I
I|Z|X
I|Y|X
X|I|Y
I|I|I
I|Y|I
I|X|I
I|X|X
X|Z|X
I|X|I
I|I|I
I|Z|I
I|X|X
I|Z|Z
Z|Y|Y
Z|Z|I
Z|I|Z
I|I|I
I|I|I
I|Z|Z
I|Z|I
I|I|I
I|Z|I
I|Y|Y
Z|I|Z
I|X|X
I|I|X
I|Z|Z
I|Z|Y
I|Y|Y
I|X|X
I|I|Z
I|Y|X
I|X|X
X|X|I
I|Y|I
I|Z|Z
I|I|I
I|X|I
X|Y|X
Z|X|I
Z|Y|Y
I|Y|I
I|I|I
I|X|Z
I|Y|Y
Z|Z|X
I|Z|Z
I|X|I
I|X|I
Z|Z|Z
I|I|Y
Y|I|X
Z|I|I
I|I|I
I|Y|Z
Z|I|Y
X|X|X
I|I|I
I|Z|Z
I|Z|I
X|X|I
I|Z|I
I|I|X
I|X|Y
I|I|I
I|Y|X
X|Z|Y
I|X|X
I|I|I
I|I|I
I|Y|X
I|Y|X
I|I|X
Y|Y|I
I|Z|Z
X|Z|X
I|Y|Y
X|Z|I
Z|Z|I
X|X|I
I|I|I
I|X|X
X|I|X
I|Z|Z
I|I|X
I|X|I
I|Z|I
I|I|X
I|I|I
Y|Y|Y
I|X|X
I|Z|Y
I|I|I
I|Y|I
I|X|I
I|Z|Z
I|Y|X
I|Z|I
X|I|X
X|I|I
I|Z|Z
I|Y|I
I|X|X
I|I|X
I|X|I
Y|X|Y
I|I|I
Z|I|X
Z|I|Y
I|Y|X
Z|X|Y
Z|X|I
I|I|I
X|X|Y
I|X|X
